year,country,item,unit,value,source_file,sheet
1887,Canada,Wheat,1000 MT,59,Exports_1.xlsx,page_2556_table_1
1888,Canada,Wheat,1000 MT,13,Exports_1.xlsx,page_2556_table_1
1889,Canada,Wheat,1000 MT,11,Exports_1.xlsx,page_2556_table_1
1890,Canada,Wheat,1000 MT,57,Exports_1.xlsx,page_2556_table_1
1891,Canada,Wheat,1000 MT,237,Exports_1.xlsx,page_2556_table_1
1892,Canada,Wheat,1000 MT,252,Exports_1.xlsx,page_2556_table_1
1893,Canada,Wheat,1000 MT,252,Exports_1.xlsx,page_2556_table_1
1894,Canada,Wheat,1000 MT,240,Exports_1.xlsx,page_2556_table_1
1895,Canada,Wheat,1000 MT,270,Exports_1.xlsx,page_2556_table_1
1896,Canada,Wheat,1000 MT,214,Exports_1.xlsx,page_2556_table_1
1897,Canada,Wheat,1000 MT,516,Exports_1.xlsx,page_2556_table_1
1898,Canada,Wheat,1000 MT,280,Exports_1.xlsx,page_2556_table_1
1899,Canada,Wheat,1000 MT,458,Exports_1.xlsx,page_2556_table_1
1900,Canada,Wheat,1000 MT,265,Exports_1.xlsx,page_2556_table_1
1901,Canada,Wheat,1000 MT,711,Exports_1.xlsx,page_2556_table_1
1902,Canada,Wheat,1000 MT,898,Exports_1.xlsx,page_2556_table_1
1903,Canada,Wheat,1000 MT,457,Exports_1.xlsx,page_2556_table_1
1904,Canada,Wheat,1000 MT,400,Exports_1.xlsx,page_2556_table_1
1905,Canada,Wheat,1000 MT,1099,Exports_1.xlsx,page_2556_table_1
1906,Canada,Wheat,1000 MT,1073,Exports_1.xlsx,page_2556_table_1
1907,Canada,Wheat,1000 MT,1188,Exports_1.xlsx,page_2556_table_1
1908,Canada,Wheat,1000 MT,1337,Exports_1.xlsx,page_2556_table_1
1909,Canada,Wheat,1000 MT,1354,Exports_1.xlsx,page_2556_table_1
1910,Canada,Wheat,1000 MT,1247,Exports_1.xlsx,page_2556_table_1
1911,Canada,Wheat,1000 MT,1755,Exports_1.xlsx,page_2556_table_1
1912,Canada,Wheat,1000 MT,2536,Exports_1.xlsx,page_2556_table_1
1913,Canada,Wheat,1000 MT,3277,Exports_1.xlsx,page_2556_table_1
1914,Canada,Wheat,1000 MT,1957,Exports_1.xlsx,page_2556_table_1
1915,Canada,Wheat,1000 MT,4293,Exports_1.xlsx,page_2556_table_1
1916,Canada,Wheat,1000 MT,5161,Exports_1.xlsx,page_2556_table_1
1917,Canada,Wheat,1000 MT,4093,Exports_1.xlsx,page_2556_table_1
1918,Canada,Wheat,1000 MT,1138,Exports_1.xlsx,page_2556_table_1
1919,Canada,Wheat,1000 MT,2122,Exports_1.xlsx,page_2556_table_1
1853,USA,Wheat,1000 MT,92,Exports_1.xlsx,page_2556_table_1
1854,USA,Wheat,1000 MT,219,Exports_1.xlsx,page_2556_table_1
1855,USA,Wheat,1000 MT,22,Exports_1.xlsx,page_2556_table_1
1856,USA,Wheat,1000 MT,222,Exports_1.xlsx,page_2556_table_1
1857,USA,Wheat,1000 MT,397,Exports_1.xlsx,page_2556_table_1
1858,USA,Wheat,1000 MT,243,Exports_1.xlsx,page_2556_table_1
1859,USA,Wheat,1000 MT,82,Exports_1.xlsx,page_2556_table_1
1860,USA,Wheat,1000 MT,113,Exports_1.xlsx,page_2556_table_1
1861,USA,Wheat,1000 MT,850,Exports_1.xlsx,page_2556_table_1
1862,USA,Wheat,1000 MT,1015,Exports_1.xlsx,page_2556_table_1
1863,USA,Wheat,1000 MT,984,Exports_1.xlsx,page_2556_table_1
1864,USA,Wheat,1000 MT,645,Exports_1.xlsx,page_2556_table_1
1865,USA,Wheat,1000 MT,270,Exports_1.xlsx,page_2556_table_1
1866,USA,Wheat,1000 MT,152,Exports_1.xlsx,page_2556_table_1
1867,USA,Wheat,1000 MT,167,Exports_1.xlsx,page_2556_table_1
1868,USA,Wheat,1000 MT,434,Exports_1.xlsx,page_2556_table_1
1869,USA,Wheat,1000 MT,478,Exports_1.xlsx,page_2556_table_1
1870,USA,Wheat,1000 MT,996,Exports_1.xlsx,page_2556_table_1
1871,USA,Wheat,1000 MT,934,Exports_1.xlsx,page_2556_table_1
1872,USA,Wheat,1000 MT,719,Exports_1.xlsx,page_2556_table_1
1873,USA,Wheat,1000 MT,1067,Exports_1.xlsx,page_2556_table_1
1874,USA,Wheat,1000 MT,1933,Exports_1.xlsx,page_2556_table_1
1875,USA,Wheat,1000 MT,1444,Exports_1.xlsx,page_2556_table_1
1876,USA,Wheat,1000 MT,1499,Exports_1.xlsx,page_2556_table_1
1877,USA,Wheat,1000 MT,1097,Exports_1.xlsx,page_2556_table_1
1878,USA,Wheat,1000 MT,1971,Exports_1.xlsx,page_2556_table_1
1879,USA,Wheat,1000 MT,3330,Exports_1.xlsx,page_2556_table_1
1880,USA,Wheat,1000 MT,4170,Exports_1.xlsx,page_2556_table_1
1881,USA,Wheat,1000 MT,1376,Exports_1.xlsx,page_2556_table_1
1882,USA,Wheat,1000 MT,2593,Exports_1.xlsx,page_2556_table_1
1883,USA,Wheat,1000 MT,2895,Exports_1.xlsx,page_2556_table_1
1884,USA,Wheat,1000 MT,1915,Exports_1.xlsx,page_2556_table_1
1885,USA,Wheat,1000 MT,2304,Exports_1.xlsx,page_2556_table_1
1886,USA,Wheat,1000 MT,1572,Exports_1.xlsx,page_2556_table_1
1887,USA,Wheat,1000 MT,2775,Exports_1.xlsx,page_2556_table_1
1888,USA,Wheat,1000 MT,1790,Exports_1.xlsx,page_2556_table_1
1889,USA,Wheat,1000 MT,1263,Exports_1.xlsx,page_2556_table_1
1890,USA,Wheat,1000 MT,1480,Exports_1.xlsx,page_2556_table_1
1891,USA,Wheat,1000 MT,1500,Exports_1.xlsx,page_2556_table_1
1892,USA,Wheat,1000 MT,4280,Exports_1.xlsx,page_2556_table_1
1893,USA,Wheat,1000 MT,3188,Exports_1.xlsx,page_2556_table_1
1894,USA,Wheat,1000 MT,2406,Exports_1.xlsx,page_2556_table_1
1895,USA,Wheat,1000 MT,2071,Exports_1.xlsx,page_2556_table_1
1896,USA,Wheat,1000 MT,1651,Exports_1.xlsx,page_2556_table_1
1897,USA,Wheat,1000 MT,2165,Exports_1.xlsx,page_2556_table_1
1898,USA,Wheat,1000 MT,4034,Exports_1.xlsx,page_2556_table_1
1899,USA,Wheat,1000 MT,3783,Exports_1.xlsx,page_2556_table_1
1900,USA,Wheat,1000 MT,2775,Exports_1.xlsx,page_2556_table_1
1901,USA,Wheat,1000 MT,3594,Exports_1.xlsx,page_2556_table_1
1902,USA,Wheat,1000 MT,4215,Exports_1.xlsx,page_2556_table_1
1903,USA,Wheat,1000 MT,3108,Exports_1.xlsx,page_2556_table_1
1904,USA,Wheat,1000 MT,1204,Exports_1.xlsx,page_2556_table_1
1905,USA,Wheat,1000 MT,120,Exports_1.xlsx,page_2556_table_1
1906,USA,Wheat,1000 MT,962,Exports_1.xlsx,page_2556_table_1
1907,USA,Wheat,1000 MT,2084,Exports_1.xlsx,page_2556_table_1
1908,USA,Wheat,1000 MT,2732,Exports_1.xlsx,page_2556_table_1
1909,USA,Wheat,1000 MT,1821,Exports_1.xlsx,page_2556_table_1
1910,USA,Wheat,1000 MT,1270,Exports_1.xlsx,page_2556_table_1
1911,USA,Wheat,1000 MT,646,Exports_1.xlsx,page_2556_table_1
1912,USA,Wheat,1000 MT,1760,Exports_1.xlsx,page_2556_table_1
1913,USA,Wheat,1000 MT,2708,Exports_1.xlsx,page_2556_table_1
1914,USA,Wheat,1000 MT,4732,Exports_1.xlsx,page_2556_table_1
1915,USA,Wheat,1000 MT,5605,Exports_1.xlsx,page_2556_table_1
1916,USA,Wheat,1000 MT,4193,Exports_1.xlsx,page_2556_table_1
1917,USA,Wheat,1000 MT,2890,Exports_1.xlsx,page_2556_table_1
1918,USA,Wheat,1000 MT,3026,Exports_1.xlsx,page_2556_table_1
1919,USA,Wheat,1000 MT,4030,Exports_1.xlsx,page_2556_table_1
1853,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1854,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1855,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1856,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1857,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1858,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1859,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1860,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1861,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1862,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1863,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1864,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1865,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1866,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1867,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1868,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1869,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1870,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1871,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1872,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1873,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1874,Argentina,Wheat,1000 MT,0.4,Exports_1.xlsx,page_2556_table_1
1875,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1876,Argentina,Wheat,1000 MT,NA,Exports_1.xlsx,page_2556_table_1
1877,Argentina,Wheat,1000 MT,0.2,Exports_1.xlsx,page_2556_table_1
1878,Argentina,Wheat,1000 MT,2.5,Exports_1.xlsx,page_2556_table_1
1879,Argentina,Wheat,1000 MT,26,Exports_1.xlsx,page_2556_table_1
1880,Argentina,Wheat,1000 MT,1.2,Exports_1.xlsx,page_2556_table_1
1881,Argentina,Wheat,1000 MT,1.7,Exports_1.xlsx,page_2556_table_1
1882,Argentina,Wheat,1000 MT,1.7,Exports_1.xlsx,page_2556_table_1
1883,Argentina,Wheat,1000 MT,61,Exports_1.xlsx,page_2556_table_1
1884,Argentina,Wheat,1000 MT,108,Exports_1.xlsx,page_2556_table_1
1885,Argentina,Wheat,1000 MT,78,Exports_1.xlsx,page_2556_table_1
1886,Argentina,Wheat,1000 MT,38,Exports_1.xlsx,page_2556_table_1
1887,Argentina,Wheat,1000 MT,238,Exports_1.xlsx,page_2556_table_1
1888,Argentina,Wheat,1000 MT,179,Exports_1.xlsx,page_2556_table_1
1889,Argentina,Wheat,1000 MT,23,Exports_1.xlsx,page_2556_table_1
1890,Argentina,Wheat,1000 MT,328,Exports_1.xlsx,page_2556_table_1
1891,Argentina,Wheat,1000 MT,396,Exports_1.xlsx,page_2556_table_1
1892,Argentina,Wheat,1000 MT,470,Exports_1.xlsx,page_2556_table_1
1893,Argentina,Wheat,1000 MT,1008,Exports_1.xlsx,page_2556_table_1
1894,Argentina,Wheat,1000 MT,1608,Exports_1.xlsx,page_2556_table_1
1895,Argentina,Wheat,1000 MT,1010,Exports_1.xlsx,page_2556_table_1
1896,Argentina,Wheat,1000 MT,532,Exports_1.xlsx,page_2556_table_1
1897,Argentina,Wheat,1000 MT,102,Exports_1.xlsx,page_2556_table_1
1898,Argentina,Wheat,1000 MT,645,Exports_1.xlsx,page_2556_table_1
1899,Argentina,Wheat,1000 MT,1713,Exports_1.xlsx,page_2556_table_1
1900,Argentina,Wheat,1000 MT,1930,Exports_1.xlsx,page_2556_table_1
1901,Argentina,Wheat,1000 MT,904,Exports_1.xlsx,page_2556_table_1
1902,Argentina,Wheat,1000 MT,645,Exports_1.xlsx,page_2556_table_1
1903,Argentina,Wheat,1000 MT,1681,Exports_1.xlsx,page_2556_table_1
1904,Argentina,Wheat,1000 MT,2305,Exports_1.xlsx,page_2556_table_1
1905,Argentina,Wheat,1000 MT,2868,Exports_1.xlsx,page_2556_table_1
1906,Argentina,Wheat,1000 MT,2248,Exports_1.xlsx,page_2556_table_1
1907,Argentina,Wheat,1000 MT,2681,Exports_1.xlsx,page_2556_table_1
1908,Argentina,Wheat,1000 MT,1636,Exports_1.xlsx,page_2556_table_1
1909,Argentina,Wheat,1000 MT,2514,Exports_1.xlsx,page_2556_table_1
1910,Argentina,Wheat,1000 MT,1884,Exports_1.xlsx,page_2556_table_1
1911,Argentina,Wheat,1000 MT,2286,Exports_1.xlsx,page_2556_table_1
1912,Argentina,Wheat,1000 MT,2629,Exports_1.xlsx,page_2556_table_1
1913,Argentina,Wheat,1000 MT,2812,Exports_1.xlsx,page_2556_table_1
1914,Argentina,Wheat,1000 MT,981,Exports_1.xlsx,page_2556_table_1
1915,Argentina,Wheat,1000 MT,2512,Exports_1.xlsx,page_2556_table_1
1916,Argentina,Wheat,1000 MT,2295,Exports_1.xlsx,page_2556_table_1
1917,Argentina,Wheat,1000 MT,936,Exports_1.xlsx,page_2556_table_1
1918,Argentina,Wheat,1000 MT,2996,Exports_1.xlsx,page_2556_table_1
1919,Argentina,Wheat,1000 MT,3286,Exports_1.xlsx,page_2556_table_1
1921,Canada,Wheat,1000 MT,3715,Exports_1.xlsx,page_2557_table_1
1922,Canada,Wheat,1000 MT,5853,Exports_1.xlsx,page_2557_table_1
1923,Canada,Wheat,1000 MT,6991,Exports_1.xlsx,page_2557_table_1
1924,Canada,Wheat,1000 MT,5219,Exports_1.xlsx,page_2557_table_1
1925,Canada,Wheat,1000 MT,6795,Exports_1.xlsx,page_2557_table_1
1926,Canada,Wheat,1000 MT,6763,Exports_1.xlsx,page_2557_table_1
1927,Canada,Wheat,1000 MT,7264,Exports_1.xlsx,page_2557_table_1
1928,Canada,Wheat,1000 MT,10082,Exports_1.xlsx,page_2557_table_1
1929,Canada,Wheat,1000 MT,4817,Exports_1.xlsx,page_2557_table_1
1930,Canada,Wheat,1000 MT,5912,Exports_1.xlsx,page_2557_table_1
1931,Canada,Wheat,1000 MT,5207,Exports_1.xlsx,page_2557_table_1
1932,Canada,Wheat,1000 MT,6211,Exports_1.xlsx,page_2557_table_1
1933,Canada,Wheat,1000 MT,5234,Exports_1.xlsx,page_2557_table_1
1934,Canada,Wheat,1000 MT,4570,Exports_1.xlsx,page_2557_table_1
1935,Canada,Wheat,1000 MT,4509,Exports_1.xlsx,page_2557_table_1
1936,Canada,Wheat,1000 MT,6614,Exports_1.xlsx,page_2557_table_1
1937,Canada,Wheat,1000 MT,2613,Exports_1.xlsx,page_2557_table_1
1938,Canada,Wheat,1000 MT,3108,Exports_1.xlsx,page_2557_table_1
1939,Canada,Wheat,1000 MT,4434,Exports_1.xlsx,page_2557_table_1
1940,Canada,Wheat,1000 MT,3788,Exports_1.xlsx,page_2557_table_1
1941,Canada,Wheat,1000 MT,5352,Exports_1.xlsx,page_2557_table_1
1942,Canada,Wheat,1000 MT,5892,Exports_1.xlsx,page_2557_table_1
1943,Canada,Wheat,1000 MT,5967,Exports_1.xlsx,page_2557_table_1
1944,Canada,Wheat,1000 MT,7938,Exports_1.xlsx,page_2557_table_1
1945,Canada,Wheat,1000 MT,8973,Exports_1.xlsx,page_2557_table_1
1946,Canada,Wheat,1000 MT,4288,Exports_1.xlsx,page_2557_table_1
1947,Canada,Wheat,1000 MT,4366,Exports_1.xlsx,page_2557_table_1
1948,Canada,Wheat,1000 MT,3692,Exports_1.xlsx,page_2557_table_1
1949,Canada,Wheat,1000 MT,5726,Exports_1.xlsx,page_2557_table_1
1950,Canada,Wheat,1000 MT,4436,Exports_1.xlsx,page_2557_table_1
1951,Canada,Wheat,1000 MT,6452,Exports_1.xlsx,page_2557_table_1
1952,Canada,Wheat,1000 MT,9140,Exports_1.xlsx,page_2557_table_1
1953,Canada,Wheat,1000 MT,7890,Exports_1.xlsx,page_2557_table_1
1954,Canada,Wheat,1000 MT,5667,Exports_1.xlsx,page_2557_table_1
1955,Canada,Wheat,1000 MT,5167,Exports_1.xlsx,page_2557_table_1
1956,Canada,Wheat,1000 MT,8227,Exports_1.xlsx,page_2557_table_1
1957,Canada,Wheat,1000 MT,6323,Exports_1.xlsx,page_2557_table_1
1958,Canada,Wheat,1000 MT,7393,Exports_1.xlsx,page_2557_table_1
1959,Canada,Wheat,1000 MT,7173,Exports_1.xlsx,page_2557_table_1
1960,Canada,Wheat,1000 MT,6606,Exports_1.xlsx,page_2557_table_1
1961,Canada,Wheat,1000 MT,9964,Exports_1.xlsx,page_2557_table_1
1921,USA,Wheat,1000 MT,7622,Exports_1.xlsx,page_2557_table_1
1922,USA,Wheat,1000 MT,4482,Exports_1.xlsx,page_2557_table_1
1923,USA,Wheat,1000 MT,2682,Exports_1.xlsx,page_2557_table_1
1924,USA,Wheat,1000 MT,4526,Exports_1.xlsx,page_2557_table_1
1925,USA,Wheat,1000 MT,2355,Exports_1.xlsx,page_2557_table_1
1926,USA,Wheat,1000 MT,3764,Exports_1.xlsx,page_2557_table_1
1927,USA,Wheat,1000 MT,4580,Exports_1.xlsx,page_2557_table_1
1928,USA,Wheat,1000 MT,2621,Exports_1.xlsx,page_2557_table_1
1929,USA,Wheat,1000 MT,2452,Exports_1.xlsx,page_2557_table_1
1930,USA,Wheat,1000 MT,2390,Exports_1.xlsx,page_2557_table_1
1931,USA,Wheat,1000 MT,2185,Exports_1.xlsx,page_2557_table_1
1932,USA,Wheat,1000 MT,1494,Exports_1.xlsx,page_2557_table_1
1933,USA,Wheat,1000 MT,242,Exports_1.xlsx,page_2557_table_1
1934,USA,Wheat,1000 MT,463,Exports_1.xlsx,page_2557_table_1
1935,USA,Wheat,1000 MT,6,Exports_1.xlsx,page_2557_table_1
1936,USA,Wheat,1000 MT,51,Exports_1.xlsx,page_2557_table_1
1937,USA,Wheat,1000 MT,948,Exports_1.xlsx,page_2557_table_1
1938,USA,Wheat,1000 MT,2365,Exports_1.xlsx,page_2557_table_1
1939,USA,Wheat,1000 MT,1720,Exports_1.xlsx,page_2557_table_1
1940,USA,Wheat,1000 MT,391,Exports_1.xlsx,page_2557_table_1
1941,USA,Wheat,1000 MT,357,Exports_1.xlsx,page_2557_table_1
1942,USA,Wheat,1000 MT,180,Exports_1.xlsx,page_2557_table_1
1943,USA,Wheat,1000 MT,322,Exports_1.xlsx,page_2557_table_1
1944,USA,Wheat,1000 MT,273,Exports_1.xlsx,page_2557_table_1
1945,USA,Wheat,1000 MT,3504,Exports_1.xlsx,page_2557_table_1
1946,USA,Wheat,1000 MT,5093,Exports_1.xlsx,page_2557_table_1
1947,USA,Wheat,1000 MT,4552,Exports_1.xlsx,page_2557_table_1
1948,USA,Wheat,1000 MT,8913,Exports_1.xlsx,page_2557_table_1
1949,USA,Wheat,1000 MT,9261,Exports_1.xlsx,page_2557_table_1
1950,USA,Wheat,1000 MT,5605,Exports_1.xlsx,page_2557_table_1
1951,USA,Wheat,1000 MT,11497,Exports_1.xlsx,page_2557_table_1
1952,USA,Wheat,1000 MT,10056,Exports_1.xlsx,page_2557_table_1
1953,USA,Wheat,1000 MT,6408,Exports_1.xlsx,page_2557_table_1
1954,USA,Wheat,1000 MT,5226,Exports_1.xlsx,page_2557_table_1
1955,USA,Wheat,1000 MT,6025,Exports_1.xlsx,page_2557_table_1
1956,USA,Wheat,1000 MT,11131,Exports_1.xlsx,page_2557_table_1
1957,USA,Wheat,1000 MT,11276,Exports_1.xlsx,page_2557_table_1
1958,USA,Wheat,1000 MT,8994,Exports_1.xlsx,page_2557_table_1
1959,USA,Wheat,1000 MT,9731,Exports_1.xlsx,page_2557_table_1
1960,USA,Wheat,1000 MT,13745,Exports_1.xlsx,page_2557_table_1
1961,USA,Wheat,1000 MT,17158,Exports_1.xlsx,page_2557_table_1
1921,Argentina,Wheat,1000 MT,1704,Exports_1.xlsx,page_2557_table_1
1922,Argentina,Wheat,1000 MT,3802,Exports_1.xlsx,page_2557_table_1
1923,Argentina,Wheat,1000 MT,3706,Exports_1.xlsx,page_2557_table_1
1924,Argentina,Wheat,1000 MT,4384,Exports_1.xlsx,page_2557_table_1
1925,Argentina,Wheat,1000 MT,2993,Exports_1.xlsx,page_2557_table_1
1926,Argentina,Wheat,1000 MT,2035,Exports_1.xlsx,page_2557_table_1
1927,Argentina,Wheat,1000 MT,4226,Exports_1.xlsx,page_2557_table_1
1928,Argentina,Wheat,1000 MT,5296,Exports_1.xlsx,page_2557_table_1
1929,Argentina,Wheat,1000 MT,6613,Exports_1.xlsx,page_2557_table_1
1930,Argentina,Wheat,1000 MT,2213,Exports_1.xlsx,page_2557_table_1
1931,Argentina,Wheat,1000 MT,3639,Exports_1.xlsx,page_2557_table_1
1932,Argentina,Wheat,1000 MT,3442,Exports_1.xlsx,page_2557_table_1
1933,Argentina,Wheat,1000 MT,3929,Exports_1.xlsx,page_2557_table_1
1934,Argentina,Wheat,1000 MT,4794,Exports_1.xlsx,page_2557_table_1
1935,Argentina,Wheat,1000 MT,3860,Exports_1.xlsx,page_2557_table_1
1936,Argentina,Wheat,1000 MT,1610,Exports_1.xlsx,page_2557_table_1
1937,Argentina,Wheat,1000 MT,3887,Exports_1.xlsx,page_2557_table_1
1938,Argentina,Wheat,1000 MT,1940,Exports_1.xlsx,page_2557_table_1
1939,Argentina,Wheat,1000 MT,4746,Exports_1.xlsx,page_2557_table_1
1940,Argentina,Wheat,1000 MT,3640,Exports_1.xlsx,page_2557_table_1
1941,Argentina,Wheat,1000 MT,2390,Exports_1.xlsx,page_2557_table_1
1942,Argentina,Wheat,1000 MT,2176,Exports_1.xlsx,page_2557_table_1
1943,Argentina,Wheat,1000 MT,1955,Exports_1.xlsx,page_2557_table_1
1944,Argentina,Wheat,1000 MT,2326,Exports_1.xlsx,page_2557_table_1
1945,Argentina,Wheat,1000 MT,2358,Exports_1.xlsx,page_2557_table_1
1946,Argentina,Wheat,1000 MT,1387,Exports_1.xlsx,page_2557_table_1
1947,Argentina,Wheat,1000 MT,2284,Exports_1.xlsx,page_2557_table_1
1948,Argentina,Wheat,1000 MT,2174,Exports_1.xlsx,page_2557_table_1
1949,Argentina,Wheat,1000 MT,1847,Exports_1.xlsx,page_2557_table_1
1950,Argentina,Wheat,1000 MT,2767,Exports_1.xlsx,page_2557_table_1
1951,Argentina,Wheat,1000 MT,2455,Exports_1.xlsx,page_2557_table_1
1952,Argentina,Wheat,1000 MT,63,Exports_1.xlsx,page_2557_table_1
1953,Argentina,Wheat,1000 MT,2527,Exports_1.xlsx,page_2557_table_1
1954,Argentina,Wheat,1000 MT,2943,Exports_1.xlsx,page_2557_table_1
1955,Argentina,Wheat,1000 MT,3617,Exports_1.xlsx,page_2557_table_1
1956,Argentina,Wheat,1000 MT,2526,Exports_1.xlsx,page_2557_table_1
1957,Argentina,Wheat,1000 MT,2660,Exports_1.xlsx,page_2557_table_1
1958,Argentina,Wheat,1000 MT,2113,Exports_1.xlsx,page_2557_table_1
1959,Argentina,Wheat,1000 MT,2399,Exports_1.xlsx,page_2557_table_1
1960,Argentina,Wheat,1000 MT,2486,Exports_1.xlsx,page_2557_table_1
1961,Argentina,Wheat,1000 MT,1066,Exports_1.xlsx,page_2557_table_1
1817,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1818,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1819,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1820,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1821,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1822,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1823,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1824,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1825,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1826,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1827,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1828,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1829,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1830,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1831,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1832,Barbados,Sugar,1000 MT,NA,Exports_1.xlsx,page_2560_table_1
1833,Barbados,Sugar,1000 MT,19,Exports_1.xlsx,page_2560_table_1
1834,Barbados,Sugar,1000 MT,20,Exports_1.xlsx,page_2560_table_1
