proc_code,crop_process,crop_original,unit,iso3c,rate_value
p002,Wheat production,wheat,kgN/ha,TZA,2.3321152
p002,Wheat production,wheat,kgN/ha,THA,164.44641
p002,Wheat production,wheat,kgN/ha,OMN,20.087805
p002,Wheat production,wheat,kgN/ha,TUN,44.348789
p002,Wheat production,wheat,kgN/ha,TUR,62.878956
p002,Wheat production,wheat,kgN/ha,ARE,75.532585
p002,Wheat production,wheat,kgN/ha,UGA,0.90981901
p002,Wheat production,wheat,kgN/ha,GBR,126.71561
p002,Wheat production,wheat,kgN/ha,UKR,20.307749
p002,Wheat production,wheat,kgN/ha,USA,75.76622
p002,Wheat production,wheat,kgN/ha,BFA,7.446178
p002,Wheat production,wheat,kgN/ha,URY,56.186756
p002,Wheat production,wheat,kgN/ha,UZB,144.75493
p002,Wheat production,wheat,kgN/ha,VEN,53.274242
p002,Wheat production,wheat,kgN/ha,VNM,210.13333
p002,Wheat production,wheat,kgN/ha,ETH,13.000002
p002,Wheat production,wheat,kgN/ha,YEM,19.933661
p002,Wheat production,wheat,kgN/ha,ZAR,0.18303938
p002,Wheat production,wheat,kgN/ha,ZMB,2.7443707
p002,Wheat production,wheat,kgN/ha,BEL,198.41811
p002,Wheat production,wheat,kgN/ha,LUX,145.12489
p002,Wheat production,wheat,kgN/ha,SDN,10.174027
p003,Barley production,barley,kgN/ha,ARM,6.5675945
p003,Barley production,barley,kgN/ha,AFG,0.43239149
p003,Barley production,barley,kgN/ha,ALB,20
p003,Barley production,barley,kgN/ha,DZA,11.582984
p003,Barley production,barley,kgN/ha,AGO,0.31848812
p003,Barley production,barley,kgN/ha,ARG,24.999994
p003,Barley production,barley,kgN/ha,AUS,38.356712
p003,Barley production,barley,kgN/ha,AUT,121.49402
p003,Barley production,barley,kgN/ha,BGD,11.964328
p003,Barley production,barley,kgN/ha,BOL,0.11583067
p003,Barley production,barley,kgN/ha,BWA,4.7995095
p003,Barley production,barley,kgN/ha,BRA,15.770007
p003,Barley production,barley,kgN/ha,BGR,15.510002
p003,Barley production,barley,kgN/ha,MMR,2.6946907
p003,Barley production,barley,kgN/ha,CAN,67.480873
p003,Barley production,barley,kgN/ha,CAF,0.054791324
p003,Barley production,barley,kgN/ha,CHL,131.51138
p003,Barley production,barley,kgN/ha,CHN,95.626274
p003,Barley production,barley,kgN/ha,COL,54.000015
p003,Barley production,barley,kgN/ha,COG,3.8271296
p003,Barley production,barley,kgN/ha,CZE,82.696335
p003,Barley production,barley,kgN/ha,AZE,5.7230005
p003,Barley production,barley,kgN/ha,DNK,69.957832
p003,Barley production,barley,kgN/ha,BLR,47
p003,Barley production,barley,kgN/ha,ECU,3.0600674
p003,Barley production,barley,kgN/ha,EGY,161.39024
p003,Barley production,barley,kgN/ha,EST,36.210003
p003,Barley production,barley,kgN/ha,FIN,92.432053
p003,Barley production,barley,kgN/ha,FRA,141.39941
p003,Barley production,barley,kgN/ha,GEO,13.010035
p003,Barley production,barley,kgN/ha,DEU,146.81827
p003,Barley production,barley,kgN/ha,BIH,23.860733
p003,Barley production,barley,kgN/ha,GRC,75
p003,Barley production,barley,kgN/ha,GUA,28.358501
p003,Barley production,barley,kgN/ha,HUN,58.097374
p003,Barley production,barley,kgN/ha,HRV,28.999998
p003,Barley production,barley,kgN/ha,IND,29.600166
p003,Barley production,barley,kgN/ha,IRN,51.020264
p003,Barley production,barley,kgN/ha,IRQ,67.29818
p003,Barley production,barley,kgN/ha,IRL,95.074005
p003,Barley production,barley,kgN/ha,ISR,50.000011
p003,Barley production,barley,kgN/ha,ITA,82.279869
p003,Barley production,barley,kgN/ha,KAZ,1.9321139
p003,Barley production,barley,kgN/ha,JPN,34.000004
p003,Barley production,barley,kgN/ha,JOR,3.5999997
p003,Barley production,barley,kgN/ha,KGZ,2.1317341
p003,Barley production,barley,kgN/ha,KEN,6.1778073
p003,Barley production,barley,kgN/ha,PRK,11.91221
p003,Barley production,barley,kgN/ha,KOR,276.91507
p003,Barley production,barley,kgN/ha,KWT,120.00001
p003,Barley production,barley,kgN/ha,LVA,0.88818222
p003,Barley production,barley,kgN/ha,LAO,1.7426335
p003,Barley production,barley,kgN/ha,LBN,51.448402
p003,Barley production,barley,kgN/ha,LSO,6.2457762
p003,Barley production,barley,kgN/ha,LBY,34.056755
p003,Barley production,barley,kgN/ha,LTU,21.999996
p003,Barley production,barley,kgN/ha,MWI,8.7219973
p003,Barley production,barley,kgN/ha,MLI,0.56288099
p003,Barley production,barley,kgN/ha,MRT,0.26040703
p003,Barley production,barley,kgN/ha,MEX,40.628777
p003,Barley production,barley,kgN/ha,MNG,0.9640342
p003,Barley production,barley,kgN/ha,MAR,12.000001
p003,Barley production,barley,kgN/ha,MOZ,0.37438762
p003,Barley production,barley,kgN/ha,MDA,0.79999989
p003,Barley production,barley,kgN/ha,NPL,3.4515586
p003,Barley production,barley,kgN/ha,NLD,84.941132
p003,Barley production,barley,kgN/ha,MKD,41.818581
p003,Barley production,barley,kgN/ha,NZL,121.83758
p003,Barley production,barley,kgN/ha,NOR,160.04352
p003,Barley production,barley,kgN/ha,PAK,59.569572
p003,Barley production,barley,kgN/ha,PRY,0.53791535
p003,Barley production,barley,kgN/ha,PER,47.992737
p003,Barley production,barley,kgN/ha,POL,56.246147
p003,Barley production,barley,kgN/ha,PRT,40.027935
p003,Barley production,barley,kgN/ha,ERI,0.71349555
p003,Barley production,barley,kgN/ha,ZWE,3.5586824
p003,Barley production,barley,kgN/ha,ROM,25.298964
p003,Barley production,barley,kgN/ha,RWA,0.040049672
p003,Barley production,barley,kgN/ha,RUS,12.728075
p003,Barley production,barley,kgN/ha,SRM,46.803268
p003,Barley production,barley,kgN/ha,SAU,329.99994
p003,Barley production,barley,kgN/ha,SEN,7.6536331
p003,Barley production,barley,kgN/ha,SVN,131.37834
p003,Barley production,barley,kgN/ha,SVK,31.819885
p003,Barley production,barley,kgN/ha,ZAF,25.087088
p003,Barley production,barley,kgN/ha,ESP,88.502243
p003,Barley production,barley,kgN/ha,TJK,2.6004388
p003,Barley production,barley,kgN/ha,SWE,131.01044
p003,Barley production,barley,kgN/ha,CHE,123.00002
p003,Barley production,barley,kgN/ha,SYR,39.991657
p003,Barley production,barley,kgN/ha,TKM,15.971687
p003,Barley production,barley,kgN/ha,TZA,0.62467837
p003,Barley production,barley,kgN/ha,THA,51.011776
p003,Barley production,barley,kgN/ha,TUN,13.757119
p003,Barley production,barley,kgN/ha,TUR,49.027271
p003,Barley production,barley,kgN/ha,UGA,0.24370363
p003,Barley production,barley,kgN/ha,GBR,117.99998
p003,Barley production,barley,kgN/ha,UKR,6.2995334
p003,Barley production,barley,kgN/ha,USA,59.48769
p003,Barley production,barley,kgN/ha,URY,56.186745
p003,Barley production,barley,kgN/ha,UZB,44.903412
p003,Barley production,barley,kgN/ha,VNM,65.183983
p003,Barley production,barley,kgN/ha,ETH,8.4999971
p003,Barley production,barley,kgN/ha,YEM,6.1834798
p003,Barley production,barley,kgN/ha,ZAR,0.049028806
p003,Barley production,barley,kgN/ha,ZMB,0.73510599
p003,Barley production,barley,kgN/ha,BEL,128.01169
p003,Barley production,barley,kgN/ha,LUX,158.6467
p003,Barley production,barley,kgN/ha,SDN,3.1560125
p004,Maize production,maize,kgN/ha,ARM,17.179758
p004,Maize production,maize,kgN/ha,AFG,1.2505978
p004,Maize production,maize,kgN/ha,ALB,42.787697
p004,Maize production,maize,kgN/ha,DZA,12.378213
p004,Maize production,maize,kgN/ha,AGO,0.83311331
p004,Maize production,maize,kgN/ha,ARG,20.000008
p004,Maize production,maize,kgN/ha,AUS,34.391209
p004,Maize production,maize,kgN/ha,AUT,148.7682
p004,Maize production,maize,kgN/ha,BGD,29.999994
p004,Maize production,maize,kgN/ha,BOL,0.077220388
p004,Maize production,maize,kgN/ha,BWA,5.1290188
p004,Maize production,maize,kgN/ha,BRA,41.668385
p004,Maize production,maize,kgN/ha,BZE,44.333527
p004,Maize production,maize,kgN/ha,BGR,0.24599999
p004,Maize production,maize,kgN/ha,MMR,3.1859829
p004,Maize production,maize,kgN/ha,BDI,1.1832719
p004,Maize production,maize,kgN/ha,CMR,9.3804388
p004,Maize production,maize,kgN/ha,CAN,158.3383
p004,Maize production,maize,kgN/ha,CAF,0.15847181
p004,Maize production,maize,kgN/ha,LKA,35.494884
p004,Maize production,maize,kgN/ha,TCD,0.96810526
p004,Maize production,maize,kgN/ha,CHL,292.24741
p004,Maize production,maize,kgN/ha,CHN,165.4409
p004,Maize production,maize,kgN/ha,COL,49.99995
p004,Maize production,maize,kgN/ha,COG,10.011145
p004,Maize production,maize,kgN/ha,COS,51.133354
p004,Maize production,maize,kgN/ha,CUB,5.6769185
p004,Maize production,maize,kgN/ha,CZE,103.79134
p004,Maize production,maize,kgN/ha,AZE,11.000002
p004,Maize production,maize,kgN/ha,BEN,15.316298
p004,Maize production,maize,kgN/ha,DOM,44.553852
p004,Maize production,maize,kgN/ha,BLR,46.999989
p004,Maize production,maize,kgN/ha,ECU,55.081219
p004,Maize production,maize,kgN/ha,EGY,351.41177
p004,Maize production,maize,kgN/ha,ELS,76
p004,Maize production,maize,kgN/ha,FRA,207.80276
p004,Maize production,maize,kgN/ha,GEO,34.032135
p004,Maize production,maize,kgN/ha,GAB,1.1726018
p004,Maize production,maize,kgN/ha,GMB,4.8526282
p004,Maize production,maize,kgN/ha,DEU,145.95044
p004,Maize production,maize,kgN/ha,BIH,25.49889
p004,Maize production,maize,kgN/ha,GHA,1.8604525
p004,Maize production,maize,kgN/ha,GRC,189.99997
p004,Maize production,maize,kgN/ha,GUA,84.277191
p004,Maize production,maize,kgN/ha,GIN,0.46303761
p004,Maize production,maize,kgN/ha,GUY,50.77459
p004,Maize production,maize,kgN/ha,HAI,6.9405117
p004,Maize production,maize,kgN/ha,HON,64.962357
p004,Maize production,maize,kgN/ha,HUN,93.399567
p004,Maize production,maize,kgN/ha,HRV,100.10001
p004,Maize production,maize,kgN/ha,IND,18.160166
p004,Maize production,maize,kgN/ha,IDN,67.999962
p004,Maize production,maize,kgN/ha,IRN,57.253479
p004,Maize production,maize,kgN/ha,IRQ,176.04105
p004,Maize production,maize,kgN/ha,ISR,250.00003
p004,Maize production,maize,kgN/ha,ITA,209.65111
p004,Maize production,maize,kgN/ha,CIV,9.8712511
p004,Maize production,maize,kgN/ha,KAZ,2.0647643
p004,Maize production,maize,kgN/ha,JAM,41.029736
p004,Maize production,maize,kgN/ha,JPN,200.00005
p004,Maize production,maize,kgN/ha,JOR,176.04103
p004,Maize production,maize,kgN/ha,KGZ,6.1655712
p004,Maize production,maize,kgN/ha,KEN,3.7066834
p004,Maize production,maize,kgN/ha,KHM,4.7930002
p004,Maize production,maize,kgN/ha,PRK,77.797493
p004,Maize production,maize,kgN/ha,KOR,276.9151
p004,Maize production,maize,kgN/ha,KWT,276.83328
p004,Maize production,maize,kgN/ha,LVA,0.88818258
p004,Maize production,maize,kgN/ha,LAO,3.9244697
p004,Maize production,maize,kgN/ha,LBN,72.027748
p004,Maize production,maize,kgN/ha,LSO,16.337936
p004,Maize production,maize,kgN/ha,LBY,36.39492
p004,Maize production,maize,kgN/ha,MDG,0.64769459
p004,Maize production,maize,kgN/ha,MWI,17.999998
p004,Maize production,maize,kgN/ha,MYS,64.999184
p004,Maize production,maize,kgN/ha,MLI,1.6280093
p004,Maize production,maize,kgN/ha,MRT,0.75316989
p004,Maize production,maize,kgN/ha,MEX,76.178955
p004,Maize production,maize,kgN/ha,MNG,2.5217566
p004,Maize production,maize,kgN/ha,MAR,11.999995
p004,Maize production,maize,kgN/ha,MOZ,1.0828335
p004,Maize production,maize,kgN/ha,MDA,1.0999999
p004,Maize production,maize,kgN/ha,NAM,0.49242517
p004,Maize production,maize,kgN/ha,NPL,9.9828711
p004,Maize production,maize,kgN/ha,NLD,43.969524
p004,Maize production,maize,kgN/ha,MKD,44.689629
p004,Maize production,maize,kgN/ha,NZL,224.93088
p004,Maize production,maize,kgN/ha,NIC,21.808523
p004,Maize production,maize,kgN/ha,NER,0.38570493
p004,Maize production,maize,kgN/ha,NGA,5.8999972
p004,Maize production,maize,kgN/ha,PAK,50.524437
p004,Maize production,maize,kgN/ha,PAN,45.274952
p004,Maize production,maize,kgN/ha,PNG,7.7403402
p004,Maize production,maize,kgN/ha,PRY,9.0000029
p004,Maize production,maize,kgN/ha,PER,51.287624
p004,Maize production,maize,kgN/ha,PHL,46.399994
p004,Maize production,maize,kgN/ha,POL,99.302254
p004,Maize production,maize,kgN/ha,PRT,106.74117
p004,Maize production,maize,kgN/ha,GNB,1.3226686
p004,Maize production,maize,kgN/ha,PRI,150.32564
p004,Maize production,maize,kgN/ha,ERI,2.0636287
p004,Maize production,maize,kgN/ha,ZWE,37.39864
p004,Maize production,maize,kgN/ha,ROM,27.035845
p004,Maize production,maize,kgN/ha,RWA,0.11583485
p004,Maize production,maize,kgN/ha,RUS,13.601982
p004,Maize production,maize,kgN/ha,SRM,50.016518
p004,Maize production,maize,kgN/ha,SAU,102.9408
p004,Maize production,maize,kgN/ha,SEN,20.020664
p004,Maize production,maize,kgN/ha,SLE,0.43712273
p004,Maize production,maize,kgN/ha,SVN,248.97502
p004,Maize production,maize,kgN/ha,SVK,63.70274
p004,Maize production,maize,kgN/ha,SOM,0.056743801
p004,Maize production,maize,kgN/ha,ZAF,62.657623
p004,Maize production,maize,kgN/ha,ESP,221.23045
p004,Maize production,maize,kgN/ha,SUR,78.572586
p004,Maize production,maize,kgN/ha,TJK,7.5211945
p004,Maize production,maize,kgN/ha,SWZ,8.9319239
p004,Maize production,maize,kgN/ha,CHE,160.00002
p004,Maize production,maize,kgN/ha,SYR,46.656929
p004,Maize production,maize,kgN/ha,TKM,41.779327
p004,Maize production,maize,kgN/ha,TZA,0.56272
p004,Maize production,maize,kgN/ha,THA,44.800003
p004,Maize production,maize,kgN/ha,TGO,2.4561934
p004,Maize production,maize,kgN/ha,TRI,175.51688
p004,Maize production,maize,kgN/ha,TUR,148.68929
p004,Maize production,maize,kgN/ha,UGA,0.70485884
p004,Maize production,maize,kgN/ha,UKR,16.47851
p004,Maize production,maize,kgN/ha,USA,150.965
p004,Maize production,maize,kgN/ha,BFA,5.7687335
p004,Maize production,maize,kgN/ha,URY,18.728912
p004,Maize production,maize,kgN/ha,UZB,117.45993
p004,Maize production,maize,kgN/ha,VEN,88.790451
p004,Maize production,maize,kgN/ha,VNM,94.500008
p004,Maize production,maize,kgN/ha,ETH,6.8000007
p004,Maize production,maize,kgN/ha,YEM,16.174976
p004,Maize production,maize,kgN/ha,ZAR,0.14180475
p004,Maize production,maize,kgN/ha,ZMB,15.699998
p004,Maize production,maize,kgN/ha,BEL,83.207596
p004,Maize production,maize,kgN/ha,LUX,300.65131
p004,Maize production,maize,kgN/ha,SDN,8.255619
p005,Rye production,rye,kgN/ha,ARM,15.553339
p005,Rye production,rye,kgN/ha,AFG,2.6090448
p005,Rye production,rye,kgN/ha,ALB,40.000004
p005,Rye production,rye,kgN/ha,ARG,18.891289
p005,Rye production,rye,kgN/ha,AUS,37.813469
p005,Rye production,rye,kgN/ha,AUT,85.541702
p005,Rye production,rye,kgN/ha,BOL,3.0767548
p005,Rye production,rye,kgN/ha,BWA,4.8837056
p005,Rye production,rye,kgN/ha,BRA,31.969471
p005,Rye production,rye,kgN/ha,BGR,91.36676
p005,Rye production,rye,kgN/ha,MMR,16.259727
p005,Rye production,rye,kgN/ha,CAN,50.733181
p005,Rye production,rye,kgN/ha,CHL,66.754181
