"name_bnf","coefficient","stored_value","unit","denominator","evidence_class","registry_source_note","source_id","source_identity_status","source_title","source_year","source_venue","source_doi","source_context","publication_locator","reported_value","reported_unit","transformation","derivation_parent","derivation_formula","verification_result","verification_rationale","authority_caveat","next_resolution_condition"
"Fallow","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","genuinely_unresolved","Espigares & Peco 1993; Cirujeda et al. 2011","espigares_peco_1993; cirujeda_2011_candidate","exact | best candidate but row citation underspecified","Mediterranean annual pasture dynamics: the role of germination | Remarkable changes of weed species in Spanish cereal fields from 1976 to 2007","1993 | 2011","","not established | 10.1007/s13593-011-0030-4","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The cited vegetation studies do not directly report a universal fallow Ndfa 0.68 or leguminous share 0.10, and no taxon-to-functional-share derivation is declared.","No value-level authority is established; the stored value is retained without endorsement.","Define geography/fallow type and derive abundance-weighted legume share and Ndfa from primary vegetation data."
"Weeds","ndfa","0.68","dimensionless","shoot-plant N; fraction derived from atmospheric N2","genuinely_unresolved","Storkey et al. 2012; Fried et al. 2009; Cirujeda et al. 2011","storkey_2012; fried_2009_ambiguous; cirujeda_2011_candidate","exact | ambiguous: at least two Fried 2009 papers | best candidate but row citation underspecified","The impact of agricultural intensification and land-use change on the European arable flora | Candidate A: A functional analysis of shifts in sunflower weed assemblages; candidate B: Arable weed decline in Northern France | Remarkable changes of weed species in Spanish cereal fields from 1976 to 2007","2012 | 2009 | 2011","","10.1098/rspb.2011.1686 | 10.1111/j.1654-1103.2009.05284.x | 10.1016/j.biocon.2008.09.029 | 10.1007/s13593-011-0030-4","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The cited flora-change studies do not directly report universal weed Ndfa 0.68 or leguminous share 0.05; Fried 2009 is not uniquely identified by the row citation.","No value-level authority is established; the stored value is retained without endorsement.","Resolve the Fried/Cirujeda identities and derive a geography/crop-weighted Fabaceae share with an explicit Ndfa rule."
"Alfalfa","n_harvest_index","0.9","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 14, discussion; assumed NHI 0.90 for alfalfa and 0.75 for grain crops","0.9","dimensionless","none","","","matched","The source defines NHI as harvested grain N divided by shoot N; this is not dry-matter harvest index.","Beans and Other pulses require cell-level attribution to Anglade's grain-crop rule; their registry row-level source strings do not identify this coefficient correctly.",""
"Beans","n_harvest_index","0.75","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Herridge et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","0.75","dimensionless","none","","","matched","Table S1-2 directly reports N harvest index in the NHI column. These values are not Herridge Table 4 dry-matter harvest indices.","The supplement attributes its NHI/BGN figures to Arunachalam and Radhakrishna (1992), McDonagh et al. (1993), Toomsan et al. (1995), Ambate et al. (2004), and Sakonnakhon et al. (2005); Table S1-2 is the immediate authority; the supplement names these underlying citations.",""
"Clover","n_harvest_index","0.9","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","0.9","dimensionless","none","","","matched","Table S1-2 directly reports N harvest index in the NHI column. These values are not Herridge Table 4 dry-matter harvest indices.","The supplement attributes its NHI/BGN figures to Arunachalam and Radhakrishna (1992), McDonagh et al. (1993), Toomsan et al. (1995), Ambate et al. (2004), and Sakonnakhon et al. (2005); Table S1-2 is the immediate authority; the supplement names these underlying citations.",""
"Fava bean","n_harvest_index","0.74","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","74","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Green leguminous","n_harvest_index","0.5","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","0.5","dimensionless","none","","","matched","Table S1-2 directly reports N harvest index in the NHI column. These values are not Herridge Table 4 dry-matter harvest indices.","The supplement attributes its NHI/BGN figures to Arunachalam and Radhakrishna (1992), McDonagh et al. (1993), Toomsan et al. (1995), Ambate et al. (2004), and Sakonnakhon et al. (2005); Table S1-2 is the immediate authority; the supplement names these underlying citations.",""
"Groundnuts, with shell","n_harvest_index","0.5","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Herridge et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","0.5","dimensionless","none","","","matched","Table S1-2 directly reports N harvest index in the NHI column. These values are not Herridge Table 4 dry-matter harvest indices.","The supplement attributes its NHI/BGN figures to Arunachalam and Radhakrishna (1992), McDonagh et al. (1993), Toomsan et al. (1995), Ambate et al. (2004), and Sakonnakhon et al. (2005); Table S1-2 is the immediate authority; the supplement names these underlying citations.",""
"Lentils","n_harvest_index","0.75","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","75","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Other pulses","n_harvest_index","0.75","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","0.75","dimensionless","none","","","matched","Table S1-2 directly reports N harvest index in the NHI column. These values are not Herridge Table 4 dry-matter harvest indices.","The supplement attributes its NHI/BGN figures to Arunachalam and Radhakrishna (1992), McDonagh et al. (1993), Toomsan et al. (1995), Ambate et al. (2004), and Sakonnakhon et al. (2005); Table S1-2 is the immediate authority; the supplement names these underlying citations.",""
"Pea","n_harvest_index","0.75","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 5, Table 1","75","percent","reported percent / 100","","","matched","Table 1 reports Ndfa medians and, for grain legumes, NHI medians. For faba bean, 34 is NHI sample size (n), while 74 is the median.","",""
"Soyabeans","n_harvest_index","0.73","dimensionless","shoot N; fraction in harvested grain or product","source_asserted","Lassaletta et al., 2014, based on Salvagiotti et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2","0.73","dimensionless","none","","","matched","Table S1-2 directly reports N harvest index in the NHI column. These values are not Herridge Table 4 dry-matter harvest indices.","The supplement attributes its NHI/BGN figures to Arunachalam and Radhakrishna (1992), McDonagh et al. (1993), Toomsan et al. (1995), Ambate et al. (2004), and Sakonnakhon et al. (2005); Table S1-2 is the immediate authority; the supplement names these underlying citations.",""
"Fodder, other","n_harvest_index","0.5","dimensionless","shoot N; fraction in harvested grain or product","derivation_asserted","Based on share of green leguminous","whep_bnf_row_copy","internal exact row-copy derivation","","","","","","Internal bnf.csv derivation; no publication locator applicable.","","dimensionless","none","Green leguminous","stored_value = parent stored_value","exact_derivation_match","The registry row declares it is based on the share of Green leguminous, and all three process coefficients are exact row copies. This verifies the arithmetic only; the parent's scientific uncertainty is inherited.","The parent coefficients are source-backed by Lassaletta ERL Supplement Table S1-2.",""
"Mixed swards","n_harvest_index","0.45","dimensionless","shoot N; fraction in harvested grain or product","genuinely_unresolved","Luscher et al. 2014; Suter et al. 2015; Nyfeler et al. 2011","luscher_2014; suter_2015; nyfeler_2011","exact | exact | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Nitrogen yield advantage from grass-legume mixtures is robust over a wide range of legume proportions and environmental conditions | Grass-legume mixtures can yield more nitrogen than legume pure stands due to mutual stimulation of nitrogen uptake from symbiotic and non-symbiotic sources","2014 | 2015 | 2011","","10.1111/gfs.12124 | 10.1111/gcb.12880 | 10.1016/j.agee.2010.11.022","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The three papers concern grass-legume mixtures and response across legume proportions, but no explicit four-coefficient derivation for 0.68/0.45/1.4/0.25 was located. Published optimal/probed proportions are not a universal stand share.","No value-level authority is established; the stored value is retained without endorsement.","Specify the target sward population and write a reproducible parameter derivation from primary tables/data."
"Meadows","n_harvest_index","0.4","dimensionless","shoot N; fraction in harvested grain or product","genuinely_unresolved","Luscher et al. 2014; Ledgard et al. 2001; Roscher et al. 2011","luscher_2014; ledgard_2001_ambiguous; roscher_2011","exact | ambiguous: at least two Ledgard 2001 papers | exact","Potential of legume-based grassland-livestock systems in Europe: a review | Candidate A: Nitrogen fixation by white clover in pastures grazed by dairy cows; candidate B: Nitrogen cycling in low input legume-based agriculture | N2 fixation and performance of 12 legume species in a 6-year grassland biodiversity experiment","2014 | 2001 | 2011","","10.1111/gfs.12124 | 10.1023/A:1004833804002 | 10.1023/A:1004810620983 | 10.1007/s11104-010-0647-0","","No value-level publication page, table, or equation established.","","","none","","","unresolved_without_guessing","The composite citation does not identify a single meadow estimand or formula. Ledgard 2001 is bibliographically ambiguous, and Roscher's biodiversity experiment is not a direct universal-meadow coefficient source.","No value-level authority is established; the stored value is retained without endorsement.","Resolve the Ledgard identity and define a meadow population plus an explicit aggregation/transfer rule."
"Alfalfa","below_ground_n_ratio","1.7","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 11 method text and PDF p. 13 Table 5; forage factor 1.7, grain factor 1.3","1.7","dimensionless","none","","","matched","Stored values match Anglade's declared forage- or grain-legume group multiplier.","Faba bean and groundnut have competing species/source conventions: Anglade Table 5 lists faba species 1.4 while the grain group is 1.3; Herridge gives 1.4 for the non-soy/non-chickpea group. The stored group value is provenance-matched; selecting a preferred future coefficient requires a separate evidence-backed correction.",""
"Beans","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Herridge et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2 and PDF p. 6 method text","1.3","dimensionless","none","","","matched","Table S1-2 directly reports the BGN multiplier; visual inspection pins groundnut to 1.3 (the text-layer column alignment alone is ambiguous). Page 6 explains 1.3/1.7 as grain/forage rules and soybean 1.4 separately.","For groundnut, the immediate dataset authority is Table S1-2 value 1.3, while Herridge Table 4 implies 1.4 under its different crop convention. The stored value is provenance-matched; selecting a preferred future convention requires a separate evidence-backed correction.",""
"Clover","below_ground_n_ratio","1.7","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 11 method text and PDF p. 13 Table 5; forage factor 1.7, grain factor 1.3","1.7","dimensionless","none","","","matched","Stored values match Anglade's declared forage- or grain-legume group multiplier.","Faba bean and groundnut have competing species/source conventions: Anglade Table 5 lists faba species 1.4 while the grain group is 1.3; Herridge gives 1.4 for the non-soy/non-chickpea group. The stored group value is provenance-matched; selecting a preferred future coefficient requires a separate evidence-backed correction.",""
"Fava bean","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 11 method text and PDF p. 13 Table 5; forage factor 1.7, grain factor 1.3","1.3","dimensionless","none","","","matched","Stored values match Anglade's declared forage- or grain-legume group multiplier.","Faba bean and groundnut have competing species/source conventions: Anglade Table 5 lists faba species 1.4 while the grain group is 1.3; Herridge gives 1.4 for the non-soy/non-chickpea group. The stored group value is provenance-matched; selecting a preferred future coefficient requires a separate evidence-backed correction.",""
"Green leguminous","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2 and PDF p. 6 method text","1.3","dimensionless","none","","","matched","Table S1-2 directly reports the BGN multiplier; visual inspection pins groundnut to 1.3 (the text-layer column alignment alone is ambiguous). Page 6 explains 1.3/1.7 as grain/forage rules and soybean 1.4 separately.","For groundnut, the immediate dataset authority is Table S1-2 value 1.3, while Herridge Table 4 implies 1.4 under its different crop convention. The stored value is provenance-matched; selecting a preferred future convention requires a separate evidence-backed correction.",""
"Groundnuts, with shell","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Herridge et al., 2008","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2 and PDF p. 6 method text","1.3","dimensionless","none","","","matched","Table S1-2 directly reports the BGN multiplier; visual inspection pins groundnut to 1.3 (the text-layer column alignment alone is ambiguous). Page 6 explains 1.3/1.7 as grain/forage rules and soybean 1.4 separately.","For groundnut, the immediate dataset authority is Table S1-2 value 1.3, while Herridge Table 4 implies 1.4 under its different crop convention. The stored value is provenance-matched; selecting a preferred future convention requires a separate evidence-backed correction.",""
"Lentils","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 11 method text and PDF p. 13 Table 5; forage factor 1.7, grain factor 1.3","1.3","dimensionless","none","","","matched","Stored values match Anglade's declared forage- or grain-legume group multiplier.","Faba bean and groundnut have competing species/source conventions: Anglade Table 5 lists faba species 1.4 while the grain group is 1.3; Herridge gives 1.4 for the non-soy/non-chickpea group. The stored group value is provenance-matched; selecting a preferred future coefficient requires a separate evidence-backed correction.",""
"Other pulses","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Lassaletta et al., 2014, based on Anglade et al., 2015","lassaletta_2014_erl_s1","exact; corrected immediate authority is ERL 9:105011 Supplementary Methods","50 year trends in nitrogen use efficiency of world cropping systems: the relationship between yield and nitrogen input to cropland","2014","Environmental Research Letters 9:105011","10.1088/1748-9326/9/10/105011","ERL 9:105011 Supplementary Methods: Table S1-2 crop vectors; Table S1-3 adjacent non-symbiotic BNF context.","Supplementary Methods, PDF p. 5, Table S1-2 and PDF p. 6 method text","1.3","dimensionless","none","","","matched","Table S1-2 directly reports the BGN multiplier; visual inspection pins groundnut to 1.3 (the text-layer column alignment alone is ambiguous). Page 6 explains 1.3/1.7 as grain/forage rules and soybean 1.4 separately.","For groundnut, the immediate dataset authority is Table S1-2 value 1.3, while Herridge Table 4 implies 1.4 under its different crop convention. The stored value is provenance-matched; selecting a preferred future convention requires a separate evidence-backed correction.",""
"Pea","below_ground_n_ratio","1.3","dimensionless","multiplicative factor applied to shoot N fixed","source_asserted","Anglade et al., 2015","anglade_2015","exact","Relationships for estimating N2 fixation in legumes: incidence for N balance of legume-based cropping systems in Europe","2015","Ecosphere 6(3):37","10.1890/ES14-00353.1","","Primary article, PDF p. 11 method text and PDF p. 13 Table 5; forage factor 1.7, grain factor 1.3","1.3","dimensionless","none","","","matched","Stored values match Anglade's declared forage- or grain-legume group multiplier.","Faba bean and groundnut have competing species/source conventions: Anglade Table 5 lists faba species 1.4 while the grain group is 1.3; Herridge gives 1.4 for the non-soy/non-chickpea group. The stored group value is provenance-matched; selecting a preferred future coefficient requires a separate evidence-backed correction.",""
