Year,area,area_code,item,item_code,Element,Value
1968,French Polynesia,70,"Beverages, Fermented",2657,Seed,0
2014,Gabon,74,Straw,2105,Stock_variation,0
2019,Niger,158,Demersal Fish,2762,Production,0
1995,Tajikistan,208,Onions,2602,Food,140800
1961,Spain,203,Apples and products,2617,Other_uses,0
1972,Ireland,104,Grapefruit and products,2613,Food,3921
1991,Yugoslav SFR,248,Seed cotton,328,Export,0
1963,Saint Kitts and Nevis,188,Wine,2655,Feed,0
2020,Qatar,179,Cottonseed Cake,2594,Import,4005
1975,Nicaragua,157,Wheat and products,2511,Domestic_supply,42187
1972,Colombia,44,"Fats, Animals, Raw",2737,Export,0
1979,Finland,67,"Fish, Body Oil",2781,Seed,0
2017,DR Congo,250,"Oilcrops, Other",2570,Stock_variation,-2768.17999999999
2005,Uzbekistan,235,Groundnut Cake,2591,Stock_variation,0
1999,Australia,10,Straw,2105,Stock_variation,0
1996,Oman,221,Coconuts - Incl Copra,2560,Other_uses,0
1982,Botswana,20,Sunflowerseed Oil,2573,Production,96
1982,Saudi Arabia,194,Tea (including mate),2635,Seed,0
1961,Lebanon,121,Groundnut Cake,2591,Other_uses,0
2012,Brazil,21,Aquatic Plants,2775,Processing,0
1992,Namibia,147,Sunflowerseed Cake,2592,Stock_variation,0
1998,Sri Lanka,38,Crustaceans,2765,Processing,0
2020,Netherlands,150,Eggs,2744,Import,360000
2014,Poland,173,Grapes and products (excl wine),2620,Stock_variation,0
2020,Myanmar,28,"Marine Fish, Other",2764,Processing,0
2012,Nepal,149,Jute,2662,Seed,0
2004,Slovenia,198,Grapefruit and products,2613,Production,0
2021,Niger,158,"Hard Fibres, Other",2667,Domestic_supply,273
1981,New Zealand,156,"Pulses, Other and products",2549,Production,0
2012,Lesotho,122,"Fruits, Other",2625,Food,25000
2016,"China, mainland",41,Wine,2655,Production,2066000
2004,Mali,133,Wool (Clean Eq.),2746,Other_uses,451
2020,Trinidad and Tobago,220,Rice and products,2807,Export,1000
1967,Turkey,223,Potatoes and products,2531,Import,0
1988,South Africa,202,"Beverages, Fermented",2657,Other_uses,0
1972,Tunisia,222,Soyabean Oil,2571,Export,0
2007,Germany,79,Rye and products,2515,Processing,246584.883163012
2003,Senegal,195,"Fats, Animals, Raw",2737,Domestic_supply,31188.5
1983,Trinidad and Tobago,220,Crustaceans,2765,Import,1126.5
1979,Maldives,132,Sugar (Raw Equivalent),2542,Feed,0
1963,Kenya,114,"Oilseed Cakes, Other",2598,Food,0
1971,Pakistan,165,DDGS,2101,Feed,760.745
1978,Israel,105,Palm Oil,2577,Processing,0
2019,RoW,999,Rape and Mustardseed,2558,Import,5000
2016,Saint Lucia,189,Onions,2602,Export,0
1985,Cabo Verde,35,"Meat, Other",2735,Export,0
1991,Angola,7,Cephalopods,2766,Export,200.5
1985,Cameroon,32,"Fruits, Other",2625,Import,1929
2014,Solomon Islands,25,Cassava and products,2532,Processing,0
1964,Saint Kitts and Nevis,188,"Pulses, Other and products",2549,Seed,1.54128440366972
1991,Vanuatu,155,Coconuts - Incl Copra,2560,Export,185077.5
2021,Venezuela,236,Sugar cane,2536,Processing,1956000
1995,Poland,173,"Fats, Animals, Raw",2737,Production,555808.440168171
1981,Gabon,74,Rice and products,2807,Import,11484
1968,Grenada,86,Apples and products,2617,Export,0
1967,Philippines,171,Sugar non-centrifugal,2541,Domestic_supply,61870
1983,Sweden,210,Bovine Meat,2731,Seed,0
1983,Turkey,223,Crustaceans,2765,Production,11921.5
1986,Mexico,138,Wheat and products,2511,Domestic_supply,5177131.5
2002,Portugal,174,Soy hulls,2103,Feed,55900
1964,Algeria,4,Cocoa Beans and products,2633,Stock_variation,0
2000,Denmark,54,Pepper,2640,Feed,0
2010,Canada,33,Cassava and products,2532,Export,114.666666666667
1986,Guinea,90,Groundnut Oil,2572,Stock_variation,0
2018,North Korea,116,"Oilcrops Oil, Other",2586,Other_uses,2250
2012,Ghana,81,Hides and skins,2748,Other_uses,14557
1987,Samoa,244,Maize and products,2514,Processing,0
1995,Ireland,104,"Fish, Liver Oil",2782,Stock_variation,0
1999,Nicaragua,157,Plantains,2616,Seed,0
2006,United States of America,231,"Sweeteners, Other",2543,Domestic_supply,11872861
1975,Ireland,104,Tea (including mate),2635,Export,1047
2007,Bosnia and Herzegovina,80,Cassava and products,2532,Seed,0
1975,France,68,Pineapples and products,2618,Domestic_supply,69235.5
2020,South Africa,202,Onions,2602,Import,5000
1991,Burkina Faso,233,Sugar cane,2536,Export,0
1983,Greece,84,Temporary grassland,3002,Feed,2127033.49522191
1989,Nepal,149,Sesame seed,2561,Feed,0
1997,Saint Lucia,189,Yams,2535,Export,2.5
2014,Guinea,90,"Marine Fish, Other",2764,Export,2400
2009,Argentina,9,"Roots, Other",2534,Stock_variation,0
1993,Paraguay,169,Apples and products,2617,Stock_variation,368
1976,Yugoslav SFR,248,Sorghum and products,2518,Seed,50.8606421714664
1961,Belgium-Luxembourg,15,Pineapples and products,2618,Food,6132.5
2000,Czech Republic,167,Hops,677,Processing,0
1992,Guatemala,89,Sugar cane,2536,Domestic_supply,11307800
1982,Albania,3,Sugar (Raw Equivalent),2542,Food,47913
2001,"China, mainland",41,Sugarbeet pulp,2104,Stock_variation,0
2002,Bulgaria,27,Onions,2602,Food,41958
2012,Solomon Islands,25,Molasses,2544,Feed,0
2014,Slovenia,198,"Butter, Ghee",2740,Seed,0
1974,Kuwait,118,Milk - Excluding Butter,2848,Production,13998.7663556645
2001,Saint Kitts and Nevis,188,Soyabeans,2555,Import,1
1996,Kazakhstan,108,Olive Oil,2580,Other_uses,38
1965,Poland,173,Groundnut Cake,2591,Domestic_supply,120000
1973,Bahamas,12,Sugar (Raw Equivalent),2542,Stock_variation,2374.49167288932
1985,Afghanistan,2,Tobacco,2671,Seed,0
1991,Lesotho,122,Straw,2105,Stock_variation,0
1995,Grenada,86,"Beverages, Alcoholic",2658,Production,925
1961,Cambodia,115,"Fats, Animals, Raw",2737,Import,25
2006,South Korea,117,Palm Oil,2577,Other_uses,186793.5
1967,Bahamas,12,"Marine Fish, Other",2764,Food,850.5
2006,Peru,170,"Soft-Fibres, Other",2664,Export,0
1986,South Korea,117,Rubber,2672,Export,26
1963,South Korea,117,Hides and skins,2748,Import,1835
1963,Italy,106,Soy hulls,2103,Food,0
1977,Albania,3,"Molluscs, Other",2767,Export,0
1992,Iran,102,Cotton lint,2661,Other_uses,97193
2020,Nigeria,159,Cotton lint,2661,Export,11013
2020,Haiti,93,Honey,2745,Export,0
2018,Togo,217,Maize and products,2514,Import,1000
2018,Ethiopia,238,Palm kernels,2562,Other_uses,0
2001,Solomon Islands,25,Sweet potatoes,2533,Export,0
2005,Greece,84,Aquatic Plants,2775,Import,54.5
2000,Sweden,210,"Lemons, Limes and products",2612,Processing,0
1968,Colombia,44,"Fish, Body Oil",2781,Import,33050
1979,Dominican Republic,56,Silk,2747,Export,0
2004,Morocco,143,"Oranges, Mandarines",2611,Export,393249
1990,Gabon,74,"Oilcrops, Other",2570,Export,0
2005,Netherlands Antilles,151,Cephalopods,2766,Export,0
1998,South Korea,117,Pineapples and products,2618,Feed,0
1988,Kiribati,83,Firewood,2107,Production,54797.3773675774
1967,Turkey,223,Demersal Fish,2762,Processing,0
2018,Cambodia,115,Peas,2547,Export,0
1994,Barbados,14,Rape and Mustardseed,2558,Stock_variation,0
2009,Lebanon,121,"Sweeteners, Other",2543,Processing,0
1977,Saint Kitts and Nevis,188,Coconuts - Incl Copra,2560,Seed,0
1988,Indonesia,101,Soyabean Oil,2571,Feed,0
1963,Turkey,223,Hides and skins,2748,Stock_variation,-914.369999999995
1965,Rwanda,184,"Offals, Edible",2736,Import,0
2009,Mali,133,Wine,2655,Processing,0
2002,Barbados,14,Sunflower seed,2557,Stock_variation,0
1970,Guyana,91,"Beverages, Alcoholic",2658,Food,2230
1966,Indonesia,101,Other crop residues,2106,Seed,0
1986,Philippines,171,Dates,2619,Food,1.5
2017,Switzerland,211,Sunflowerseed Cake,2592,Other_uses,0
1994,Portugal,174,Millet and products,2517,Import,2150.5
1965,Australia,10,Hides and skins,2748,Production,284397.2
1982,Algeria,4,"Beverages, Fermented",2657,Seed,0
2000,Morocco,143,"Fish, Liver Oil",2782,Production,0
2011,Latvia,119,Sunflowerseed Oil,2573,Stock_variation,0
2020,Pakistan,165,Sesameseed Cake,2597,Export,0
1980,Kuwait,118,Freshwater Fish,2761,Food,46.5
1969,Bolivia,19,Potatoes and products,2531,Import,15
2007,Peru,170,Bananas,2615,Export,73.5
1978,Czechoslovakia,51,Apples and products,2617,Feed,0
1999,Costa Rica,48,Cephalopods,2766,Export,25
2005,Ireland,104,"Beverages, Alcoholic",2658,Import,21185.5
1995,Malta,134,Palmkernel Oil,2576,Other_uses,45.5
2019,Senegal,195,Cotton lint,2661,Import,272
1964,Iceland,99,Nuts and products,2551,Processing,0
2018,Uruguay,234,"Oilseed Cakes, Other",2598,Stock_variation,0
1982,Bolivia,19,Molasses,2544,Export,0
2003,Canada,33,Fodder vegetables and roots,2002,Import,0
1962,Ivory Coast,107,"Fruits, Other",2625,Food,13861
1982,RoW,999,Firewood,2107,Food,0
2018,Zimbabwe,181,Barley and products,2513,Food,4230.76923076923
1961,Chile,40,Pimento,2641,Domestic_supply,0
1974,Thailand,216,Tobacco,2671,Other_uses,50612
2009,Niger,158,"Offals, Edible",2736,Stock_variation,-29438
2003,Oman,221,Pimento,2641,Domestic_supply,90
2003,Grenada,86,Pelagic Fish,2763,Other_uses,0
1973,Cyprus,50,Beer,2656,Export,10
1979,Suriname,207,Poultry Meat,2734,Seed,0
1964,Solomon Islands,25,"Beverages, Alcoholic",2658,Processing,0
2009,Albania,3,Pimento,2641,Export,0
2018,Albania,3,Seed cotton,328,Export,0
2017,Barbados,14,Palm Oil,2577,Seed,0
1977,Papua New Guinea,168,Potatoes and products,2531,Production,44
2021,Mexico,138,Honey,2745,Other_uses,0
2019,Timor-Leste,176,"Offals, Edible",2736,Processing,0
2000,Chile,40,"Spices, Other",2645,Feed,0
1972,Lao,120,DDGS,2101,Import,0
1963,DR Congo,250,Milk - Excluding Butter,2848,Food,5200
2004,Malta,134,Rye and products,2515,Import,2.5
1964,Canada,33,Coconuts - Incl Copra,2560,Domestic_supply,29817.5
2011,Uganda,226,Other crop residues,2106,Other_uses,0
2007,Togo,217,Cocoa Beans and products,2633,Feed,0
2003,United Kingdom,229,Fodder cereal and grasses,2000,Processing,0
2010,Denmark,54,"Lemons, Limes and products",2612,Feed,0
2000,Honduras,95,Copra Cake,2596,Import,0
1970,"China, Hong Kong SAR",96,Copra Cake,2596,Feed,310
1974,Pakistan,165,"Oilseed Cakes, Other",2598,Processing,0
1968,Central African Republic,37,Pelagic Fish,2763,Production,0
1977,Belize,23,Wheat and products,2511,Other_uses,231.592732134176
2021,Oman,221,Honey,2745,Import,3000
1994,Saint Vincent and the Grenadines,191,Pigmeat,2733,Food,1107
2008,Australia,10,Sesame seed,2561,Other_uses,0
2010,Grenada,86,Yams,2535,Import,0
2019,Switzerland,211,"Oilseed Cakes, Other",2598,Feed,2854.52356445972
2003,Spain,203,Firewood,2107,Other_uses,11790594.0525502
1991,Chad,39,Other crop residues,2106,Seed,0
1982,Lao,120,Grapefruit and products,2613,Feed,0
1999,Barbados,14,"Oilcrops, Other",2570,Seed,0
2014,United States of America,231,"Marine Fish, Other",2764,Production,5570
1972,Italy,106,Cottonseed Oil,2575,Feed,0
1991,RoW,999,Oats,2516,Domestic_supply,4078
1991,Kenya,114,Cottonseed Oil,2575,Food,2104
2008,Costa Rica,48,Cocoa Beans and products,2633,Import,8030.5
1995,France,68,Sugarbeet pulp,2104,Feed,23714880
2012,Senegal,195,Wine,2655,Domestic_supply,7000
1988,Malta,134,"Cereals, Other",2520,Feed,1876.82127246236
1981,Honduras,95,Cocoa Beans and products,2633,Seed,0
2003,Poland,173,Groundnut Cake,2591,Stock_variation,0
2021,Argentina,9,Sorghum and products,2518,Export,2115000
1999,Chad,39,"Fats, Animals, Raw",2737,Processing,0
2019,Venezuela,236,"Marine Fish, Other",2764,Food,760
2000,Portugal,174,Sesame seed,2561,Food,0
1992,Viet Nam,237,Soy hulls,2103,Import,0
1976,Greece,84,Pelagic Fish,2763,Other_uses,0
1998,New Zealand,156,Groundnut Cake,2591,Processing,0
1985,Dominican Republic,56,Sunflowerseed Oil,2573,Other_uses,0
2021,Romania,183,Mutton & Goat Meat,2732,Export,3000
1987,Chile,40,Sugar beet,2537,Food,0
2018,Mozambique,144,Wool (Clean Eq.),2746,Food,0
2005,Saint Kitts and Nevis,188,Demersal Fish,2762,Processing,0
2014,South Africa,202,Demersal Fish,2762,Processing,0
1974,Jordan,112,Grapes and products (excl wine),2620,Seed,0
2012,Brunei Darussalam,26,Nuts and products,2551,Domestic_supply,1158
1968,Chad,39,Beans,2546,Import,0
1987,Tunisia,222,Soyabean Cake,2590,Production,0
2004,France,68,"Oilseed Cakes, Other",2598,Processing,0
1992,Russian Federation,185,"Lemons, Limes and products",2612,Feed,0
1971,Iceland,99,Pepper,2640,Other_uses,0
1992,Argentina,9,"Molluscs, Other",2767,Production,1999.5
2002,Azerbaijan,52,"Meat, Other",2735,Other_uses,0
1998,Niger,158,"Roots, Other",2534,Production,0
1984,Bulgaria,27,Potatoes and products,2531,Export,9047
1994,Croatia,98,Millet and products,2517,Food,0
1994,Cambodia,115,Sesame seed,2561,Processing,0
1993,Morocco,143,Sorghum and products,2518,Seed,841.442240373396
2009,Somalia,201,Rice and products,2807,Export,0
2015,Honduras,95,"Lemons, Limes and products",2612,Export,1000
2009,Slovakia,199,"Citrus, Other",2614,Other_uses,0
1991,Costa Rica,48,Barley and products,2513,Import,16865
2016,Benin,53,Coconut Oil,2578,Export,0
2014,North Korea,116,"Fats, Animals, Raw",2737,Seed,0
1982,Cameroon,32,Bananas,2615,Import,0
1964,India,100,Abaca,2666,Feed,0
1962,Portugal,174,"Pulses, Other and products",2549,Food,13676.1767343286
2000,New Zealand,156,Peas,2547,Domestic_supply,23760
2003,Haiti,93,"Fruits, Other",2625,Processing,0
2003,Gambia,75,Cottonseed Cake,2594,Production,0
1985,Brunei Darussalam,26,Palm Oil,2577,Processing,0
1963,Greece,84,Fodder vegetables and roots,2002,Export,0
2006,Italy,106,Soyabeans,2555,Production,551292
1974,Rwanda,184,"Fruits, Other",2625,Stock_variation,0
2000,"China, mainland",41,Hides and skins,2748,Export,28652
2018,Solomon Islands,25,Sugar (Raw Equivalent),2542,Production,0
2004,Barbados,14,Nuts and products,2551,Other_uses,610.169491525424
1990,Benin,53,Pigmeat,2733,Other_uses,0
1976,Albania,3,"Marine Fish, Other",2764,Import,0
1965,Yemen,249,Pelagic Fish,2763,Export,17950
1993,Honduras,95,"Beverages, Alcoholic",2658,Export,1.5
1988,Egypt,59,Rubber,2672,Stock_variation,0
2002,Denmark,54,Rye and products,2515,Seed,8437.03072109745
2021,Pakistan,165,"Fruits, Other",2625,Production,5980864.81
1976,Philippines,171,Groundnut Cake,2591,Other_uses,0
1996,Senegal,195,Grapes and products (excl wine),2620,Domestic_supply,220.5
2013,Iraq,103,Soyabean Cake,2590,Import,5870
2000,Solomon Islands,25,"Sweeteners, Other",2543,Production,0
1997,Spain,203,DDGS Barley,2102,Other_uses,0
1987,Guatemala,89,Groundnuts,2552,Food,1735.65401785714
2006,Iceland,99,Eggs,2744,Other_uses,0
1981,"China, Macao SAR",128,Mutton & Goat Meat,2732,Other_uses,0
2013,Cyprus,50,"Butter, Ghee",2740,Food,978.47358121330706
1982,Poland,173,Bovine Meat,2731,Production,674000
2016,Central African Republic,37,"Fruits, Other",2625,Stock_variation,-1823.24
1968,Iran,102,Sugar cane,2536,Production,452000
1983,El Salvador,60,"Marine Fish, Other",2764,Food,1903.5
2009,Lesotho,122,Tomatoes and products,2601,Seed,0
2006,Hungary,97,"Oranges, Mandarines",2611,Domestic_supply,213019.5
2004,Kazakhstan,108,"Cereals, Other",2520,Seed,4142.38020145193
1980,Senegal,195,DDGS,2101,Other_uses,0
1989,Austria,11,Soyabean Cake,2590,Stock_variation,0
2016,Mozambique,144,Rubber,2672,Domestic_supply,4
1995,Canada,33,Beans,2546,Stock_variation,30050
2002,Gabon,74,"Oil, palm fruit",254,Feed,0
2018,Kazakhstan,108,Demersal Fish,2762,Import,3100
2015,Cambodia,115,"Oilseed Cakes, Other",2598,Stock_variation,0
2003,"China, Macao SAR",128,Wine,2655,Stock_variation,0
1977,Saint Lucia,189,Molasses,2544,Seed,0
1979,Ethiopia,238,Maize Germ Oil,2582,Import,967.5
2011,"China, Hong Kong SAR",96,Pelagic Fish,2763,Domestic_supply,21905.3333333333
2017,Azerbaijan,52,Sesame seed,2561,Other_uses,1000
2010,Togo,217,Soyabean Cake,2590,Processing,0
2015,Turkmenistan,213,"Oilcrops Oil, Other",2586,Other_uses,0
2005,Tajikistan,208,Beans,2546,Feed,180.881959233344
1978,Netherlands,150,Linum,772,Seed,0
1963,Belgium-Luxembourg,15,Hides and skins,2748,Production,26837
2013,Philippines,171,Bovine Meat,2731,Processing,0
1974,Lesotho,122,Other crop residues,2106,Stock_variation,0
2015,Portugal,174,"Fats, Animals, Raw",2737,Feed,0
1963,Senegal,195,Coffee and products,2630,Import,101
1971,Mauritius,137,Sugar (Raw Equivalent),2542,Domestic_supply,35770
1972,Congo,46,Palm Oil,2577,Feed,0
2020,Cuba,49,Yams,2535,Import,0
2013,Zambia,251,Pineapples and products,2618,Feed,0
2013,Belize,23,Grapefruit and products,2613,Stock_variation,-392
2005,Djibouti,72,Rice and products,2807,Import,49147
2003,Czech Republic,167,Maize Germ Oil,2582,Domestic_supply,20.5
1991,RoW,999,"Alcohol, Non-Food",2659,Stock_variation,750
1992,Timor-Leste,176,Bananas,2615,Stock_variation,-200
1973,Denmark,54,Coconuts - Incl Copra,2560,Processing,80136.5
2012,United States of America,231,Sesame seed,2561,Export,1000
2012,Jordan,112,Potatoes and products,2531,Export,19000
1962,Spain,203,Rubber,2672,Domestic_supply,37260
1998,Puerto Rico,177,"Lemons, Limes and products",2612,Seed,0
1993,Nicaragua,157,Grapes and products (excl wine),2620,Production,0
2000,Liberia,123,"Beverages, Fermented",2657,Other_uses,0
1973,Ireland,104,Sugar (Raw Equivalent),2542,Seed,0
1988,Bahamas,12,Jute,2662,Import,1
2020,Netherlands,150,Other crop residues,2106,Processing,0
1968,Argentina,9,Olive Oil,2580,Domestic_supply,7758
1981,Venezuela,236,Tobacco,2671,Domestic_supply,13392
2019,Brazil,21,"Meat, Other",2735,Processing,0
1980,Mozambique,144,Hides and skins,2748,Domestic_supply,4041
1969,Haiti,93,Cottonseed Cake,2594,Production,240
2019,Mexico,138,Pigmeat,2733,Seed,0
1995,El Salvador,60,Firewood,2107,Domestic_supply,407343.658076458
1982,Tunisia,222,Other crop residues,2106,Processing,0
2017,Australia,10,Coconuts - Incl Copra,2560,Export,1000
2011,Cameroon,32,Pigmeat,2733,Seed,0
2017,Namibia,147,"Beverages, Alcoholic",2658,Feed,0
1999,United Kingdom,229,Mutton & Goat Meat,2732,Domestic_supply,396863
2000,Antigua and Barbuda,8,Tea (including mate),2635,Seed,0
1990,Bulgaria,27,Pimento,2641,Domestic_supply,1191
1987,Grenada,86,"Meat, Other",2735,Stock_variation,0
2005,Antigua and Barbuda,8,Tomatoes and products,2601,Production,364.53
2003,Cambodia,115,"Sweeteners, Other",2543,Food,933
1998,India,100,Poultry Meat,2734,Production,738300
2001,Israel,105,Wheat and products,2511,Stock_variation,-311323.5
1985,Kenya,114,Honey,2745,Stock_variation,0
1995,Lao,120,Cottonseed,2559,Other_uses,0
1998,Burkina Faso,233,Olives (including preserved),2563,Export,0
1966,Saint Lucia,189,Poultry Meat,2734,Export,0
2010,Malawi,130,Rape and Mustardseed,2558,Production,0
1979,Mexico,138,Maize and products,2514,Domestic_supply,11204760
2008,Tajikistan,208,Wool (Clean Eq.),2746,Import,0
1983,Brazil,21,Sweet potatoes,2533,Stock_variation,126
2001,Mauritania,136,Hides and skins,2748,Food,0
2009,Cabo Verde,35,Dates,2619,Food,6
2021,United Arab Emirates,225,Mutton & Goat Meat,2732,Export,2000
1992,United States of America,231,Rape and Mustardseed,2558,Seed,870.731822244783
1967,Malta,134,Peas,2547,Seed,0
2003,Croatia,98,Dates,2619,Food,37
1977,Bahrain,13,Potatoes and products,2531,Feed,13.2972972972973
2006,Tunisia,222,Coconuts - Incl Copra,2560,Food,124
2012,Moldova,146,Wheat and products,2511,Food,179328.358208955
1975,Jordan,112,Groundnuts,2552,Feed,0
2003,Kazakhstan,108,Coconut Oil,2578,Domestic_supply,57.5
2018,Benin,53,Firewood,2107,Stock_variation,0
2013,Bulgaria,27,"Meat, Other",2735,Stock_variation,-1725.30580461489
1974,Chile,40,Peas,2547,Processing,0
2001,Bulgaria,27,Pineapples and products,2618,Other_uses,0
1986,Austria,11,Nuts and products,2551,Seed,0
1977,"China, Hong Kong SAR",96,"Fruits, Other",2625,Seed,0
2004,Canada,33,"Beverages, Alcoholic",2658,Export,85905
1969,Iran,102,Barley and products,2513,Production,1143000
2016,Germany,79,Cassava and products,2532,Import,11000
1998,South Korea,117,"Sweeteners, Other",2543,Feed,0
1974,Poland,173,Pigmeat,2733,Production,1885000
1987,Iran,102,"Beverages, Fermented",2657,Stock_variation,0
1962,Guinea-Bissau,175,Millet and products,2517,Other_uses,0
2005,Gabon,74,Soyabeans,2555,Feed,0
1962,Lao,120,"Oranges, Mandarines",2611,Processing,0
1971,Zambia,251,"Oilcrops Oil, Other",2586,Feed,0
2012,Honduras,95,"Molluscs, Other",2767,Import,0
2009,Kiribati,83,"Molluscs, Other",2767,Export,0
1996,Denmark,54,Sorghum and products,2518,Seed,0
1971,Oman,221,Milk - Excluding Butter,2848,Stock_variation,0
2020,Guatemala,89,"Molluscs, Other",2767,Import,590
2009,Argentina,9,"Vegetables, Other",2605,Production,1867879.27
2013,Zambia,251,Cottonseed,2559,Import,0.333333333333333
2009,Hungary,97,Soyabean Cake,2590,Stock_variation,0
1961,Lao,120,Groundnuts,2552,Export,0
1993,Botswana,20,Sugar beet,2537,Stock_variation,0
1965,North Korea,116,Bovine Meat,2731,Feed,0
1996,Turkmenistan,213,Cottonseed Oil,2575,Food,33150
2021,Colombia,44,Yams,2535,Other_uses,0
2020,Turkey,223,Linum,772,Other_uses,0
2010,Venezuela,236,Groundnut Cake,2591,Stock_variation,0
1998,Latvia,119,"Oilcrops, Other",2570,Processing,763.132733408324
2012,Sri Lanka,38,Rape and Mustardseed,2558,Export,1.66666666666667
1968,Burundi,29,Pigmeat,2733,Domestic_supply,852
1997,United Arab Emirates,225,Wine,2655,Production,0
1970,Papua New Guinea,168,Bovine Meat,2731,Export,0
1991,Brunei Darussalam,26,"Molluscs, Other",2767,Processing,0
2012,Jordan,112,"Lemons, Limes and products",2612,Other_uses,0
1989,Canada,33,Wine,2655,Processing,0
1981,Hungary,97,"Fruits, Other",2625,Other_uses,8489.08260592883
1961,Netherlands Antilles,151,Pelagic Fish,2763,Feed,0
1981,Iceland,99,Maize and products,2514,Domestic_supply,17932
2019,Indonesia,101,Molasses,2544,Domestic_supply,619743.335703868
2000,Angola,7,Bovine Meat,2731,Production,93806
1966,Germany,79,Rape and Mustardseed,2558,Domestic_supply,387762.5
2012,El Salvador,60,"Vegetables, Other",2605,Food,329000
1981,Jordan,112,Sesame seed,2561,Seed,1.02063694267516
1984,Egypt,59,"Vegetables, Other",2605,Seed,0
1986,Colombia,44,"Fish, Liver Oil",2782,Feed,0
2012,Malta,134,Pineapples and products,2618,Production,0
1991,United States of America,231,Eggs,2744,Import,2782.5
2000,Zambia,251,"Citrus, Other",2614,Import,41.5
2009,Tunisia,222,"Pulses, Other and products",2549,Processing,0
2011,Congo,46,Sweet potatoes,2533,Feed,0
1992,Sweden,210,Soyabean Cake,2590,Feed,126602
2005,"China, Macao SAR",128,"Beverages, Fermented",2657,Food,2941.5
1965,Nigeria,159,Palm kernels,2562,Feed,0
1998,Myanmar,28,Sunflower seed,2557,Processing,74853
1993,South Africa,202,Groundnut Oil,2572,Import,876
1975,Ecuador,58,Bananas,2615,Production,2544327
1974,Canada,33,Demersal Fish,2762,Processing,0
1999,Philippines,171,Cephalopods,2766,Domestic_supply,54172.5
2006,Sudan,206,Cassava and products,2532,Import,0
2005,Cyprus,50,"Fish, Body Oil",2781,Export,0
1967,Nicaragua,157,"Hard Fibres, Other",2667,Domestic_supply,440
2010,Guinea-Bissau,175,Palm Oil,2577,Seed,0
2017,Costa Rica,48,Apples and products,2617,Domestic_supply,11000
1980,Grenada,86,Coconut Oil,2578,Production,150.5
1970,France,68,"Hard Fibres, Other",2667,Processing,0
1999,Cameroon,32,Yams,2535,Import,1.5
2018,Sao Tome and Principe,193,Straw,2105,Processing,0
1978,Iceland,99,Palm Oil,2577,Production,0
1970,Poland,173,Temporary grassland,3002,Production,18625619.33775
1966,Portugal,174,DDGS,2101,Processing,0
1964,Central African Republic,37,Straw,2105,Feed,315942.450389584
