source,source_table,class_key,source_class_code,source_class_name,item_prod_code,mapping_kind,mapping_reason
IBGE_PAM,5457,40268,40268,Pêssego,534,exact,
IBGE_PAM,5457,40269,40269,Pimenta-do-reino,687,exact,
IBGE_PAM,5457,40123,40123,Rami (fibra),788,exact,
IBGE_PAM,5457,40270,40270,Sisal ou agave (fibra),,dropped,"No exact WHEP counterpart: the class spans sisal (789) and other agave fibres (800), which WHEP carries as separate items and the source serves separately; not folded into a near neighbour (T10 crop rule 4)."
IBGE_PAM,5457,40124,40124,Soja (em grão),236,exact,
IBGE_PAM,5457,40125,40125,Sorgo (em grão),83,exact,
IBGE_PAM,5457,40271,40271,Tangerina,495,exact,
IBGE_PAM,5457,40126,40126,Tomate,388,exact,
IBGE_PAM,5457,40127,40127,Trigo (em grão),15,exact,
IBGE_PAM,5457,40128,40128,Triticale (em grão),97,exact,
IBGE_PAM,5457,40272,40272,Tungue (fruto seco),275,exact,
IBGE_PAM,5457,40273,40273,Urucum (semente),,dropped,No exact WHEP counterpart: annatto has no WHEP item; not folded into a near neighbour (T10 crop rule 4).
IBGE_PAM,5457,40274,40274,Uva,560,exact,
