Name,Cat_1,Cat_2,Cat_3,Cat_4,Herb_Woody,Order,Crop_irrig,Cat_Org,Cat_Ymax,Cat_Ymax_leg,Farm_class
Plums,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Prickly_pears,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Other_woody,Fruits,Responsive,Fruits
Quinces,Fruits,Fruits_vegs,Fruits,Fruits,Woody,7,Fruits,Fruits,Fruits,Responsive,Fruits
Strawberry,Fruits,Fruits_vegs,Fruits,Fruits,Herbaceous,7,Fruits,Vegetables,Fruits,Responsive,Fruits
Citrus_nes,Citrus,Fruits_vegs,Citrus,Fruits,Woody,8,Citrus,Citrus,Citrus,Responsive,Fruits
Lemons_limes,Citrus,Fruits_vegs,Citrus,Fruits,Woody,8,Citrus,Citrus,Citrus,Responsive,Fruits
Oranges,Citrus,Fruits_vegs,Citrus,Fruits,Woody,8,Citrus,Citrus,Citrus,Responsive,Fruits
Tangerines,Citrus,Fruits_vegs,Citrus,Fruits,Woody,8,Citrus,Citrus,Citrus,Responsive,Fruits
Almonds,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Treenuts,Treenuts,Responsive,Olive
Carobs,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Other_woody,Treenuts,Responsive,Fruits
Chestnut,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Treenuts,Treenuts,Responsive,Fruits
Hazelnuts,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Treenuts,Treenuts,Responsive,Fruits
Nuts_nes,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Treenuts,Treenuts,Responsive,Fruits
Pistachios,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Treenuts,Treenuts,Responsive,Fruits
Walnuts,Treenuts,Fruits_vegs,Treenuts,Fruits,Woody,9,Woody_other,Treenuts,Treenuts,Responsive,Fruits
Cottonseed,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Groundnuts,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Hempseed,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Linseed,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Rapeseed,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Safflowerseed,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Soybeans,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Fixed,COP
Sunflowerseed,Oilseeds,Other,Other,Other,Herbaceous,10,Industrial,Industrial_crops,Arable,Responsive,COP
Cotton_lint,Fibres,Other,Other,Other,Herbaceous,11,Industrial,Industrial_crops,Arable,Responsive,Other_crops
Fibres_nes,Fibres,Other,Other,Other,Herbaceous,11,Industrial,Industrial_crops,Arable,Responsive,Other_crops
Seed_cotton,Fibres,Other,Other,Other,Herbaceous,11,Industrial,Industrial_crops,Arable,Responsive,Other_crops
Giant_reed,Fibres,Other,Other,Other,Herbaceous,11,Industrial,Other_woody,Arable,Responsive,Other_crops
Esparto_grass,Fibres,Other,Other,Other,Herbaceous,11,Industrial,Industrial_crops,Arable,Responsive,Other_crops
Crack_willow,Fibres,Other,Other,Other,Woody,11,Industrial,Other_woody,Arable,Responsive,Other_crops
Woody_other,Fibres,Other,Other,Other,Woody,11,Industrial,Other_woody,Arable,Responsive,Other_crops
Hops,Spices,Other,Other,Other,Herbaceous,12,Other,Industrial_crops,Arable,Responsive,Vegetables
Peppermint,Spices,Other,Other,Other,Herbaceous,12,Other,Industrial_crops,Arable,Responsive,Vegetables
Peppers_dry,Spices,Other,Other,Other,Herbaceous,12,Other,Industrial_crops,Arable,Responsive,Vegetables
Spices,Spices,Other,Other,Other,Herbaceous,12,Other,Other_woody,Arable,Responsive,Vegetables
Tobacco,Spices,Other,Other,Other,Herbaceous,12,Other,Industrial_crops,Arable,Responsive,Vegetables
Saffron,Spices,Other,Other,Other,Herbaceous,12,Other,Industrial_crops,Arable,Responsive,Vegetables
Sugar_beet,Sugar_crops,Other,Other,Other,Herbaceous,13,Industrial,Industrial_crops,Arable,Responsive,Other_crops
Sugar_cane,Sugar_crops,Other,Other,Other,Herbaceous,13,Industrial,Industrial_crops,Arable,Responsive,Other_crops
Alfalfa,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Beet_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Cabbage_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Carrot_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Cereals_green,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Clover,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Common_sainfoin,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Fodder_other,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
French_honeysuckle,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Grasses_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Legumes_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Maize_green,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Mixed_swards,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Sorghum_green,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Squash_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Turnip_fodder,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Responsive,Other_crops
Vetch_green,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Cereal_legumes_mixtures,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Flowers,Other,Other,Other,Other,Herbaceous,15,Other,Other_arable,Vegetables,Responsive,Vegetables
Mushrooms,Other,Other,Other,Other,Herbaceous,15,Other,Other_arable,Vegetables,Responsive,Vegetables
Other,Other,Other,Other,Other,Herbaceous,15,Other,Other_arable,Arable,Responsive,Other_crops
Meadows,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,15,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
Fallow,Fallow,Fallow,Fallow,Fallow,Herbaceous,16,Cereals,Fallow,Arable,Responsive,
Grass,Grass,Grass,Grass,Grass,Woody,17,Grass,Grass,Grass,Fixed,
Acorns,Acorns,Acorns,Acorns,Acorns,Woody,18,Grass,Dehesa,Grass,Fixed,
Shrubland,Grass,Grass,Grass,Grass,Woody,19,Grass,Grass,Grass,Fixed,
Holm_oak_forest,Forest,Forest,Forest,Forest,Woody,20,Grass,Forest,Grass,Fixed,
Conifers,Forest,Forest,Forest,Forest,Woody,20,Grass,Forest,Grass,Fixed,
Temporary_grassland,Fodder_green,Fodder,Fodder_green,Fodder_green,Herbaceous,14,Fodder_green,Fodder_green,Arable,Fixed,Other_crops
