item_code_trade,item_trade,item_cbs,item_check
893.0,"Buttermilk, curdled, acidified milk",Milk - Excluding Butter,Milk - Excluding Butter
894.0,"Milk, whole evaporated",Milk - Excluding Butter,Milk - Excluding Butter
895.0,"Milk, skimmed evaporated",Milk - Excluding Butter,Milk - Excluding Butter
896.0,"Milk, skimmed condensed",Milk - Excluding Butter,Milk - Excluding Butter
897.0,"Milk, whole dried",Milk - Excluding Butter,Milk - Excluding Butter
898.0,"Milk, skimmed dried",Milk - Excluding Butter,Milk - Excluding Butter
899.0,"Milk, dry buttermilk",Milk - Excluding Butter,Milk - Excluding Butter
900.0,"Whey, dry",Milk - Excluding Butter,Milk - Excluding Butter
901.0,"Cheese, whole cow milk",Milk - Excluding Butter,Milk - Excluding Butter
903.0,"Whey, fresh",Milk - Excluding Butter,Milk - Excluding Butter
904.0,"Cheese, skimmed cow milk",Milk - Excluding Butter,Milk - Excluding Butter
905.0,"Whey, cheese",Milk - Excluding Butter,Milk - Excluding Butter
907.0,"Cheese, processed",Milk - Excluding Butter,Milk - Excluding Butter
908.0,"Milk, reconstituted",Milk - Excluding Butter,Milk - Excluding Butter
909.0,"Milk, products of natural constituents nes",Milk - Excluding Butter,Milk - Excluding Butter
910.0,Ice cream and edible ice,Milk - Excluding Butter,Milk - Excluding Butter
916.0,Egg albumine,Eggs,Eggs
917.0,Casein,Milk - Excluding Butter,Milk - Excluding Butter
919.0,"Hides, cattle, fresh",Hides and skins,Hides and skins
